A	B	Competition	Cooperation	A_B	dist	A_idx	B_idx	bin	IQ_outlier_comp	IQ_outlier_coop	zscore_comp	zscore_coop	MRCA_level	MRCA_taxa	A_taxa	B_taxa
11	GCF_000010485.1	GCF_000164555.1	0.976119402985075	0.0150602409638554	GCF_000010485.1_GCF_000164555.1	0.02085	742	908	3	Positive		2.98452224241666	-1.77661909918968	g	Escherichia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_Escherichia coli
12	GCF_000155995.1	12718_7_49	0.966666666666667	0.0235690235690236	GCF_000155995.1_12718_7_49	0.02179	793	56	3	Positive		2.83069396378527	-1.4506487049409	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter cancerogenus	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_
13	GCF_000155995.1	12718_7_50	0.973333333333333	0.0135135135135135	GCF_000155995.1_12718_7_50	0.02257	793	64	3	Positive		2.93918338134634	-1.83587403378833	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter cancerogenus	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter cloacae_A
14	GCF_000155995.1	12718_7_7	0.97	0.0135593220338983	GCF_000155995.1_12718_7_7	0.02428	793	79	3	Positive		2.8849386725658	-1.83411911511868	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter cancerogenus	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_
15	GCF_000155995.1	13154_4_42	0.976666666666667	0.0134680134680135	GCF_000155995.1_13154_4_42	0.02086	793	106	3	Positive		2.99342809012689	-1.83761713482384	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter cancerogenus	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter steigerwaltii
16	GCF_000164295.1	GCF_000164555.1	0.973372781065089	0.0149700598802395	GCF_000164295.1_GCF_000164555.1	0.02331	896	908	3	Positive		2.93982533056269	-1.78007392519055	g	Escherichia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_Escherichia coli
17	GCF_000164355.1	GCF_000164555.1	0.975460122699387	0.0124223602484472	GCF_000164355.1_GCF_000164555.1	0.02353	898	908	3	Positive		2.97379350228608	-1.87767597849702	g	Escherichia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_Escherichia coli
18	GCF_000164435.1	GCF_000164555.1	0.970326409495549	0.018018018018018	GCF_000164435.1_GCF_000164555.1	0.02005	899	908	3	Positive		2.89025046897458	-1.66330703127297	g	Escherichia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_Escherichia coli
19	GCF_000164555.1	14637_1_53	0.979041916167665	0.00304878048780488	GCF_000164555.1_14637_1_53	0.02096	908	313	3	Positive		3.03208150536572	-2.23677664329048	g	Escherichia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_Escherichia coli	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_
20	GCF_000164555.1	GCF_000010485.1	0.979041916167665	0.00304878048780488	GCF_000164555.1_GCF_000010485.1	0.02085	908	742	3	Positive		3.03208150536572	-2.23677664329048	g	Escherichia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_Escherichia coli	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_
21	GCF_000164555.1	GCF_000164295.1	0.985029940119761	0.00303030303030303	GCF_000164555.1_GCF_000164295.1	0.02331	908	896	3	Positive		3.12952709000143	-2.23748451236954	g	Escherichia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_Escherichia coli	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_
22	GCF_000164555.1	GCF_000164435.1	0.979041916167665	0.00304878048780488	GCF_000164555.1_GCF_000164435.1	0.02005	908	899	3	Positive		3.03208150536572	-2.23677664329048	g	Escherichia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_Escherichia coli	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_
23	GCF_000345025.2	GCF_000345285.2	0.966101694915254	0.00869565217391304	GCF_000345025.2_GCF_000345285.2	0.02987	1080	1091	3	Positive		2.82149994534788	-2.02044569734824	s	Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
24	GCF_000345025.2	GCF_000345505.2	0.966101694915254	0.0172413793103448	GCF_000345025.2_GCF_000345505.2	0.02959	1080	1104	3	Positive		2.82149994534788	-1.69305996274113	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
25	GCF_000345025.2	GCF_000345685.2	0.966101694915254	0.00869565217391304	GCF_000345025.2_GCF_000345685.2	0.02779	1080	1111	3	Positive		2.82149994534788	-2.02044569734824	s	Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
26	GCF_000345065.2	GCF_000345285.2	0.958677685950413	0.00854700854700855	GCF_000345065.2_GCF_000345285.2	0.0273	1082	1091	3			2.7006859840633	-2.02614021604886	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
27	GCF_000345085.2	GCF_000345725.2	0.959349593495935	0.0247933884297521	GCF_000345085.2_GCF_000345725.2	0.02972	1083	1113	3	Positive		2.71162021280358	-1.40374344071267	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
28	GCF_000345125.2	GCF_000345145.2	0.966666666666667	0.0169491525423729	GCF_000345125.2_GCF_000345145.2	0.02646	1086	1085	3	Positive		2.83069396378527	-1.70425513356475	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
29	GCF_000345185.2	GCF_000344985.2	0.974358974358974	0.00869565217391304	GCF_000345185.2_GCF_000344985.2	0.02557	1087	1078	3	Positive		2.95587406097112	-2.02044569734824	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
30	GCF_000345185.2	GCF_000345165.2	0.965811965811966	0.0258620689655172	GCF_000345185.2_GCF_000345165.2	0.02748	1087	1089	3	Positive		2.81678506409795	-1.36280242344449	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
31	GCF_000345185.2	GCF_000345285.2	0.982905982905983	0.0170940170940171	GCF_000345185.2_GCF_000345285.2	0.02731	1087	1091	3	Positive		3.09496305784431	-1.6987053907633	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
32	GCF_000345185.2	GCF_000345265.2	0.974358974358974	0.00869565217391304	GCF_000345185.2_GCF_000345265.2	0.02768	1087	1092	3	Positive		2.95587406097112	-2.02044569734824	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
33	GCF_000345165.2	GCF_000345285.2	0.975	0.00847457627118644	GCF_000345165.2_GCF_000345285.2	0.02781	1089	1091	3	Positive		2.96630573573662	-2.02891508744958	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
34	GCF_000345265.2	GCF_000345285.2	0.966942148760331	0.00847457627118644	GCF_000345265.2_GCF_000345285.2	0.02801	1092	1091	3	Positive		2.83517699756878	-2.02891508744958	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
35	GCF_000345405.2	GCF_000345505.2	0.966101694915254	0.0172413793103448	GCF_000345405.2_GCF_000345505.2	0.02968	1096	1104	3	Positive		2.82149994534788	-1.69305996274113	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
36	GCF_000345485.2	GCF_000345085.2	0.959016393442623	0.00847457627118644	GCF_000345485.2_GCF_000345085.2	0.02437	1100	1083	3			2.70619791084631	-2.02891508744958	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
37	GCF_000345465.2	GCF_000345085.2	0.966386554621849	0.0170940170940171	GCF_000345465.2_GCF_000345085.2	0.02686	1101	1083	3	Positive		2.82613558489614	-1.6987053907633	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
38	GCF_000345525.2	GCF_000345345.2	0.973913043478261	0.00884955752212389	GCF_000345525.2_GCF_000345345.2	0.0279	1103	1094	3	Positive		2.94861724374296	-2.01454960276441	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
39	GCF_000345545.2	GCF_000345505.2	0.958677685950413	0.0169491525423729	GCF_000345545.2_GCF_000345505.2	0.0222	1105	1104	3			2.7006859840633	-1.70425513356475	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
40	GCF_000345725.2	GCF_000345085.2	0.983333333333333	0	GCF_000345725.2_GCF_000345085.2	0.02972	1113	1083	3	Positive		3.10191750768796	-2.35357504133442	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
41	GCF_000346835.2	GCF_000345085.2	0.974137931034483	0.0173913043478261	GCF_000346835.2_GCF_000345085.2	0.02897	1130	1083	3	Positive		2.95227693174165	-1.68731635336206	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
42	GCF_000346835.2	GCF_000345425.2	0.974137931034483	0.0173913043478261	GCF_000346835.2_GCF_000345425.2	0.02781	1130	1099	3	Positive		2.95227693174165	-1.68731635336206	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
43	GCF_000346025.2	GCF_000345085.2	0.966942148760331	0.0168067226890756	GCF_000346025.2_GCF_000345085.2	0.02275	1131	1083	3	Positive		2.83517699756878	-1.70971160337794	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
44	GCF_000346875.2	GCF_000345005.2	0.966386554621849	0.0170940170940171	GCF_000346875.2_GCF_000345005.2	0.0241	1133	1079	3	Positive		2.82613558489614	-1.6987053907633	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
45	GCF_000346875.2	GCF_000345425.2	0.966386554621849	0.00862068965517241	GCF_000346875.2_GCF_000345425.2	0.02599	1133	1099	3	Positive		2.82613558489614	-2.02331750203778	s	Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
46	GCF_000455765.1	GCF_000345285.2	0.965217391304348	0.0176991150442478	GCF_000455765.1_GCF_000345285.2	0.02807	1160	1091	3	Positive		2.80710930779372	-1.67552416419441	s	Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
47	GCF_000455765.1	GCF_000345685.2	0.965217391304348	0	GCF_000455765.1_GCF_000345685.2	0.02599	1160	1111	3	Positive		2.80710930779372	-2.35357504133442	s	Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT
48	GCF_000517745.1	GCF_000517805.1	0.982935153583618	0.00346020761245675	GCF_000517745.1_GCF_000517805.1	0.0219	1183	1184	3	Positive		3.09543776431829	-2.22101492175514	g	Providencia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens_A	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens
49	GCF_000517805.1	GCF_000517745.1	0.976271186440678	0.0136986301369863	GCF_000517805.1_GCF_000517745.1	0.0219	1184	1183	3	Positive		2.98699227722072	-1.82878223916441	g	Providencia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens_A
50	GCF_000517805.1	GCF_000527275.1	0.976271186440678	0.0136986301369863	GCF_000517805.1_GCF_000527275.1	0.02036	1184	1188	3	Positive		2.98699227722072	-1.82878223916441	g	Providencia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens_A
51	GCF_000527275.1	GCF_000517805.1	0.982935153583618	0.00346020761245675	GCF_000527275.1_GCF_000517805.1	0.02036	1188	1184	3	Positive		3.09543776431829	-2.22101492175514	g	Providencia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens_A	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens
52	GCF_000527335.1	GCF_000517745.1	0.965779467680608	0.0230769230769231	GCF_000527335.1_GCF_000517745.1	0.02165	1191	1183	3	Positive		2.81625620859652	-1.4695010130634	g	Providencia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens_A
53	GCF_000527335.1	GCF_000527275.1	0.965779467680608	0.0230769230769231	GCF_000527335.1_GCF_000527275.1	0.02011	1191	1188	3	Positive		2.81625620859652	-1.4695010130634	g	Providencia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Providencia:s_Providencia alcalifaciens_A
54	GCF_000238715.1	20298_3_13	0.987730061349693	0.00923076923076923	GCF_000238715.1_20298_3_13	0.03763	1017	563	4	Positive		2.75214274803627	-1.90025293313557	f	Enterobacteriaceae	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella:s_Klebsiella pneumoniae	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella_A:s_Klebsiella_A oxytoca
55	GCF_000345025.2	GCF_000345005.2	0.991525423728814	0	GCF_000345025.2_GCF_000345005.2	0.03771	1080	1079	4	Positive		2.80506142603961	-2.22086700134263	g	Helicobacter	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_Helicobacter pylori_BT	d_Bacteria:p_Campylobacterota:c_Campylobacteria:o_Campylobacterales:f_Helicobacteraceae:g_Helicobacter:s_
56	20298_3_33	20298_2_9	0.980582524271845	0.0130293159609121	20298_3_33_20298_2_9	0.04438	585	556	5	Positive		2.70039850849412	-1.75965222475308	f	Enterobacteriaceae	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella:s_Klebsiella pneumoniae	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella_A:s_Klebsiella_A oxytoca
57	GCF_000238715.1	20298_2_9	0.98159509202454	0.0153846153846154	GCF_000238715.1_20298_2_9	0.04456	1017	556	5	Positive		2.71453697662162	-1.67909307154441	f	Enterobacteriaceae	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella:s_Klebsiella pneumoniae	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella_A:s_Klebsiella_A oxytoca
